Algorithm;DataSize;Time;Memory
MergeSort;1000;0;90464
MergeSort;100000;19;11966048
MergeSort;1000000;112;22781440
MergeSort;1000000;64;7145928
MergeSort;1000000;68;22751016
MergeSort;500000;37;17244432
QuickSort;1000;0;0
QuickSort;100000;8;0
QuickSort;1000000;106;0
QuickSort;1000000;655431;0
QuickSort;1000000;655431;0
QuickSort;1000000;655431;0
ShellSort;1000;0;0
ShellSort;100000;17;0
ShellSort;1000000;232;57568
ShellSort;1000000;47;0
ShellSort;1000000;30;0
ShellSort;500000;58;0
BubbleSort;1000;1;0
BubbleSort;100000;18353;106824
;0;0;0
;0;0;0
;0;0;0
;0;0;0
